Data: ['10.128.2.1', '14/Dec/2017:23:53:03', 'GET /login.php HTTP/1.1', '200', '393.65'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343103644213974448966438223874', 'ResponseMetadata': {'RequestId': 'ca51aa2f-2c59-43a8-9ed7-b65245a58cbc', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'ca51aa2f-2c59-43a8-9ed7-b65245a58cbc', 'x-amz-id-2': 'Z9UB9PxcxeNnGy/Gr3+AbfJ2XcBeCuvFCkHzA431TBplovhpYjwdHMx/E60EIhU+7x5BTcEmCWIfUHd/wKvTuxLk419Ofz2l', 'date': 'Sat, 8 Dec 2018 19:23:41 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:01:40:41', 'GET / HTTP/1.1', '302', '371.59'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343104853139794063664332406786', 'ResponseMetadata': {'RequestId': 'f4e6b7db-1711-a99e-a060-aba67eed668a', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'f4e6b7db-1711-a99e-a060-aba67eed668a', 'x-amz-id-2': 'vhl+ZOj9/g6RPShTU6Eiv4UbT4JO4FvD3dx0WxSt0EXN51yaDh8d0gu0NrmEpmCGOd/8Gb7nZfEVak+dB/kHmYaBngnk1ytx', 'date': 'Sat, 8 Dec 2018 19:23:41 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:01:40:42', 'GET /login.php HTTP/1.1', '200', '475.35'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343106062065613678293507112962', 'ResponseMetadata': {'RequestId': 'c85771ab-81a6-d33e-9cd1-6dd5e85a1c2a', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'c85771ab-81a6-d33e-9cd1-6dd5e85a1c2a', 'x-amz-id-2': 'rw+qyUQtuZ+D4Hfodvt8CKFjPgm6KguIRVQqKxFp2QGKfA1ZvuPfbd2M9jSCUKqlHhFvefOKR8jhn27we/ur2cyeZnMqk8j5', 'date': 'Sat, 8 Dec 2018 19:23:42 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:47:55', 'GET / HTTP/1.1', '302', '569.37'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343107270991433292991401295874', 'ResponseMetadata': {'RequestId': 'f87ffc93-954b-5e22-acf9-e0ecfcb79136', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'f87ffc93-954b-5e22-acf9-e0ecfcb79136', 'x-amz-id-2': 'sRQhlfdTftHV4NYsUloLDtW73GCaXSw/X/Md8UjvBZRgJPL5gBXqEt2Bq8pH554L/3prtBNG5x/TtnQHU4hj+UEXepn8NtJm', 'date': 'Sat, 8 Dec 2018 19:23:43 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:47:55', 'GET /login.php HTTP/1.1', '200', '371.09'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343108479917252907689295478786', 'ResponseMetadata': {'RequestId': 'cad2b904-fb35-b192-9e54-a58492c97e86', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'cad2b904-fb35-b192-9e54-a58492c97e86', 'x-amz-id-2': 'TDgbLeBgwUlZc5OCVQzLtL+cyT/RC2ORX7dnQr2TgL4qVTUFIgWeJK/vHZy7iExgPrQ7G5fzgydyEiKiwPxhZRf8cw1QNi1e', 'date': 'Sat, 8 Dec 2018 19:23:44 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:47:56', 'GET /css/bootstrap.min.css HTTP/1.1', '200', '362.6'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343109688843072522387189661698', 'ResponseMetadata': {'RequestId': 'c07d5cbb-8a6b-f149-94fb-403ae3973e5d', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'c07d5cbb-8a6b-f149-94fb-403ae3973e5d', 'x-amz-id-2': 'zVLrrWN8NA38eQxnpvA8FCQaeGXYHo3BtJEzCh9ygEYwaULTurGiUZjnqYHuGXnctb1+IeQdo+hXNWjc5pD55AY88yXNS/uf', 'date': 'Sat, 8 Dec 2018 19:23:45 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.131.0.1', '15/Dec/2017:08:47:56', 'GET /css/font-awesome.min.css HTTP/1.1', '200', '358.19'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966252433487164785377870348306', 'ResponseMetadata': {'RequestId': 'ed459357-d85f-0d68-b9c3-8fd6b1a3c27c', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'ed459357-d85f-0d68-b9c3-8fd6b1a3c27c', 'x-amz-id-2': '6yNpHL4geDKtFCX4E0FkbvOsbzzwQo4m5XJBonEMMAj5nSdl6mgAYrC5C5O0d+rLDnIRr0fHEOvvsJASDtgyZC+S7aF+ais8', 'date': 'Sat, 8 Dec 2018 19:23:45 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.130.2.1', '15/Dec/2017:08:47:56', 'GET /css/normalize.css HTTP/1.1', '200', '170.85'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343112106694711751782978027522', 'ResponseMetadata': {'RequestId': 'c1b4d2c4-0aa3-ff1b-9532-ce47635f300f', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'c1b4d2c4-0aa3-ff1b-9532-ce47635f300f', 'x-amz-id-2': '4mKKJUSNDkcdrwIGRyLDqoolDvoRh4VEHVYXqULs7NMxpJoRtgoLmJzHQOGGR6elTo1E39tChpTvEF3ZK9k97nE5qxurnPV1', 'date': 'Sat, 8 Dec 2018 19:23:47 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:47:56', 'GET /css/main.css HTTP/1.1', '200', '493.14'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966254851338804014773658714130', 'ResponseMetadata': {'RequestId': 'e704d0eb-1def-de10-b382-cc6874131104', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'e704d0eb-1def-de10-b382-cc6874131104', 'x-amz-id-2': 'qwrYmm7zor5xYl4TrReV+WzAAb3Iz07yzLI87Ylz+GBew0aPkunDYL5DuBzMogdS+VmJ/OuObph4LU2Sdx5Jk0HLfp8I7yTG', 'date': 'Sat, 8 Dec 2018 19:23:47 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.130.2.1', '15/Dec/2017:08:47:56', 'GET /css/style.css HTTP/1.1', '200', '467.76'] Response: {'ShardId': 'shardId-000000000001', 'SequenceNumber': '49590876281673628396730846966256060264623629471552897042', 'ResponseMetadata': {'RequestId': 'fee7fe59-50ef-0fdc-aa61-e2dd3913c0c8', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'fee7fe59-50ef-0fdc-aa61-e2dd3913c0c8', 'x-amz-id-2': 'ukPAnlMiJtfXVxuc+mkiPyqcjnNOoabGs8THHiMMfnEuCUEXCoH/ewYT/zGff6yXMvmrta05oUKMFdW7jC3sVS9sRobOppG5', 'date': 'Sat, 8 Dec 2018 19:23:48 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
Data: ['10.128.2.1', '15/Dec/2017:08:47:56', 'GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1', '200', '211.62'] Response: {'ShardId': 'shardId-000000000000', 'SequenceNumber': '49590876281651327651532316343115733472170595739221622786', 'ResponseMetadata': {'RequestId': 'd1e2693a-4ab5-6a37-8564-75be2349a523', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': 'd1e2693a-4ab5-6a37-8564-75be2349a523', 'x-amz-id-2': 'EfwvpQNEY6CKujrPIZQXm9SLFsReFYkbFD/SL39jnu63qzV1IGS3eoWBqGFqBkNXAAhvHSv9e+UVTDjq6VofzTgT7WLumdfM', 'date': 'Sat, 8 Dec 2018 19:23:48 GMT', 'content-type': 'application/x-amz-json-1.1', 'content-length': '110'}, 'RetryAttempts': 0}}
